"lr.cell.name","lr.gene.name","obs.xy.diff","null.diff.sd","pvalue","stage","adj.p","Welch.t.stat","Welch.t.sd","Welch.t.p","adj.t.p","limma.Lg.p","limma.Rg.p","limma.Lg.logFC","limma.Rg.logFC","adj.limma.Lg.p","adj.limma.Rg.p"
"T cells-Macrophages","IRAK4-TLR6",12.5655,2.0104,0.000000043921,2,0.000001566939,4.5716,2.7486,0.072802,0.302226600465,0.017308091535,0.000910218808,0.5668,2.0653,0.241142876518,0.046235220381
"T cells-Macrophages","LRPAP1-SORT1",-15.7125,2.9523,0.000142837503,2,0.002637266247,-4.4876,3.5013,0.034129,0.217429397056,0.052271315285,0.003284287816,-0.762,-1.6968,0.417490744738,0.099240804563
"T cells-Macrophages","LYZ-ITGAL",-27.8986,4.5246,0.000000464205,2,0.000014309259,-4.4754,6.2337,0.085475,0.306407639384,0.000878458712,0.203535833132,-4.6669,-0.4944,0.045357233236,0.665872221935
"T cells-Macrophages","MTMR4-SMAD3",5.8495,1.1223,0.000111740353,2,0.002127819088,5.7835,1.0114,0.003837,0.091442117764,0.420900650228,0.000735598067,-0.2892,1.5869,0.872800937634,0.040821717358
"T cells-Macrophages","PDCD1LG2-PDCD2",8.5749,1.9109,0.000429736818,2,0.006856455717,6.4758,1.3242,0.00293,0.080751058417,0.004980053792,0.367010210911,1.6205,-0.1372,0.124358911578,0.84542508059
"T cells-Macrophages","PIGF-FLT1",10.0907,2.1473,0.00042963482,2,0.006856455717,3.9858,2.5317,0.08505,0.306048417722,0.770636958808,0.002892762908,0.0534,2.0839,0.922440401353,0.092137010937
"T cells-Macrophages","POMC-GPR84",12.1184,2.121,0.000005193331,2,0.000132587258,4.0568,2.9872,0.088026,0.308587450577,0.2894261708,0.000618009133,0.3976,3.109,0.778082422586,0.036766955231
"T cells-Macrophages","PRSS23-TMEM222",7.9777,1.4418,0.00000128738,2,0.000036597353,12.8217,0.6222,0.000213,0.020345192,0.000942254255,0.237394733679,2.2852,-0.3365,0.047207967948,0.708807763412
"T cells-Macrophages","PSAP-SORT1",-20.4398,4.1298,0.000105528797,2,0.00201919657,-4.0266,5.0762,0.066168,0.300351234571,0.054761662119,0.003284287816,-1.1802,-1.6968,0.421462536748,0.099240804563
"T cells-Macrophages","QDPR-DYSF",21.5611,2.5822,0,2,0,7.796,2.7657,0.002258,0.071701508865,0.041652897243,0.000047121193,0.8876,4.8865,0.378638783013,0.007800333714
"T cells-Macrophages","RPS27A-SMAD3",17.6536,3.0124,0.000000219747,2,0.0000071361,6.5794,2.6832,0.015095,0.181828998991,0.027025030791,0.000735598067,-0.5326,1.5869,0.304423512713,0.040821717358
"T cells-Macrophages","SELPLG-SELL",33.619,6.4985,0.00002993409,2,0.000648252219,7.8214,4.2983,0.001346,0.053391333333,0.774560864004,0.001272283882,0.0632,4.3866,0.923071972179,0.056693929221
"T cells-Macrophages","SEMA4D-CD72",9.6811,2.2142,0.000204543542,2,0.003612694838,5.5103,1.7569,0.021129,0.189729605553,0.209739140534,0.001595034069,-0.3418,1.806,0.672689097044,0.064769686188
"T cells-Macrophages","SEMA7A-PLXNC1",9.8651,2.1275,0.000081125508,2,0.001592238121,4.2007,2.3484,0.091965,0.311678508279,0.1680597033,0.000040575817,0.7242,3.7649,0.627935084533,0.007253859788
